"","Property_type","City","Country","Detail_clean","Bed_count","Final_price","Discount","Start_date","End_date","Duration_days","Nb_reviews","Rating","Location_full"
"632","Condo","Manila","Philippines","Amazing Manila Bay View! Spacious Comfy, Clean 31",2,177,FALSE,2023-06-11,2023-06-16,5,154,4.9,"Manila, Philippines"
"633","Apartment","Thalang","Thailand","Luxurious private 2bedrm seafront Phuket penthouse",2,57,TRUE,2023-09-02,2023-09-07,5,185,4.92,"Thalang, Thailand"
"634","Condo","Tagaytay","Philippines","Serenity Tagaytay Home w WIFI NETFLIX",3,34,FALSE,2023-06-11,2023-06-16,5,447,4.79,"Tagaytay, Philippines"
"635","Apartment","Melaka","Malaysia","B1933B5 min drive to JonkerSeaviewImperio4 pax",4,47,FALSE,2023-06-18,2023-06-24,6,196,4.69,"Melaka, Malaysia"
"636","Villa","Phu Quoc","Vietnam","HB Villas Phu Quoc - 3 Bedrooms",4,252,FALSE,2023-06-01,2023-06-06,5,20,5,"Phu Quoc, Vietnam"
"637","Condo","Pasig","Philippines","A Chic and Cozy 2Br Unit w Netflix and Disney",6,34,FALSE,2023-06-04,2023-06-09,5,295,4.94,"Pasig, Philippines"
"638","Loft","George Town","Malaysia","Coastline Seaview Duplex Level 19 Executive Floor",1,87,FALSE,2023-06-04,2023-06-09,5,437,4.92,"George Town, Malaysia"
"639","Cabin","Tambon Ko Pha-ngan","Thailand","BOHO CABIN, Hin Kong Beachfront, West Coast.",2,132,FALSE,2023-07-07,2023-07-12,5,44,4.98,"Tambon Ko Pha-ngan, Thailand"
"640","Apartment","Tambon Kamala","Thailand","ACharming Pool Access One Bedroom Apartment",1,65,FALSE,2023-06-03,2023-06-08,5,68,4.82,"Tambon Kamala, Thailand"
"641","Condo","Pasay","Philippines","One Bedroom Condo in Roxas Boulevard, Pasay City",8,30,FALSE,2023-06-07,2023-06-12,5,332,4.77,"Pasay, Philippines"
"642","Villa","Seririt","Indonesia","Wake up to the Sea of Bali Beachfront luxury plus",1,194,FALSE,2023-10-10,2023-10-16,6,139,5,"Seririt, Indonesia"
"643","Cabin","Lazi","Philippines","Enchanted River cabin wprivate garden and kitchen",2,51,FALSE,2023-08-19,2023-08-24,5,127,4.85,"Lazi, Philippines"
"644","Condo","Cebu City","Philippines","Cozy City Condo at Horizons 101 W WIFI .",2,26,FALSE,2023-06-05,2023-06-10,5,220,4.44,"Cebu City, Philippines"
"645","Apartment","Tambon Patong","Thailand","SUNSET SEAVIEW DELUXE PATONG - POOLTERRACE",4,64,FALSE,2023-06-25,2023-06-30,5,159,4.8,"Tambon Patong, Thailand"
"646","Apartment","Tambon Rawai","Thailand","Appartment 140 sqm 6 people big terrace sea view",2,111,FALSE,2023-06-14,2023-06-19,5,160,4.91,"Tambon Rawai, Thailand"
"647","Condo","Chiang Mai","Thailand","Cozy room 48.5 sq.m The Astra near Night market",1,45,FALSE,2023-06-07,2023-06-12,5,190,4.89,"Chiang Mai, Thailand"
